7.4,0.623,0,1.98,0.076,11,34,3.38,0.56,9.4,5
7.8,0.88,0,2.6,0.098,25,97,3.306,0.68,9.8,5
8.28,0.76,0.142,2.3,0.092,15,54,3.26,0.65,9.64,5
11.2,0.28,0.544,2.78,0.075,17,60,3.138,0.58,10.42,6
7.4,0.7,0.034,1.9,0.076,11,20.8,3.51,0.56,9.72,5
7.62,0.503,0.36,6.1,0.071,17,102,3.35,0.8,10.5,5
6.7,0.6,0.08,1.92,0.097,15,65,3.28,0.63,9.88,5
7.5,0.5,0.36,3.04,0.071,17,102,3.35,0.8,10.5,5
8.9,0.62,0.534,3.8,0.176,23.2,145,3.152,0.81,9.2,5
8.44,0.745,0.28,1.7,0.368,16,56,3.11,0.934,9.3,5
7.9,0.32,0.532,1.8,0.341,19,56,3.116,1.08,9.2,6
8.9,0.402,0.48,1.8,0.077,29,60,3.39,0.53,9.4,6
7.9,0.43,0.404,1.6,0.106,10,37,3.17,0.91,10.12,5
8.5,0.49,0.11,2.3,0.0792,9,67,3.17,0.53,9.4,5
6.9,0.4,0.252,2.74,0.085,21,40,3.376,0.63,10.22,6
7.9,0.43,0.316,1.6,0.106,10.8,37,3.17,0.684,9.5,5
7.1,0.661,0,1.9,0.08,15.2,35,3.47,0.55,9.4,5
7.3,0.675,0.07,2.4,0.089,17,49.4,3.35,0.65,10.1,5
6.9,0.592,0.034,4.18,0.105,22,37,3.46,0.57,10.6,6
8.3,0.655,0.12,4.02,0.083,15,113,3.254,0.584,9.78,5
6.9,0.605,0.12,10.7,0.073,40,83,3.302,0.532,9.92,6
5.2,0.562,0.25,3.78,0.103,13.4,50,3.38,0.662,9.2,5
7.8,0.645,0,1.98,0.086,5,17.8,3.36,0.55,9.6,6
6.62,0.6,0.14,2.4,0.086,19.8,63.4,3.42,0.764,10.8,6
8.1,0.429,0.28,2.1,0.0814,13,25.8,3.316,0.73,11.22,7
5.7,1.13,0.09,1.5,0.172,7,19,3.5,0.48,9.8,4
7.3,0.45,0.36,5.9,0.074,12,87,3.33,0.642,10.5,5
8.06,0.45,0.36,2.58,0.074,12,36,3.33,0.626,10.5,5
8.1,0.66,0.22,2.2,0.069,5.4,23,3.3,0.598,10.3,5
6.8,0.619,0.02,2.4,0.05,5,11,3.388,0.52,10.24,5
4.6,0.52,0.042,2.1,0.054,8,16,3.9,0.56,10.66,4
8.58,0.935,0.124,2.51,0.0928,22,84.6,3.374,0.648,10.26,5
9.3,0.29,0.43,2.22,0.113,12,30.2,3.276,0.58,9.5,5
7.74,0.548,0.158,1.6,0.0892,5.8,12,3.34,0.56,9.2,5
5.6,0.31,0.15,1.4,0.074,33.4,96,3.32,0.58,9.2,5
8.8,0.66,0.26,1.7,0.074,9.4,36.8,3.15,0.772,9.2,5
6.6,0.52,0.04,2.04,0.069,8,20.8,3.4,0.63,9.4,6
7.62,0.555,0.224,2.1,0.0748,6,28.8,3.39,0.64,9.4,6
7.6,0.51,0.27,1.96,0.11,33,73,3.17,0.63,10.2,6
7.7,0.62,0.04,2,0.087,25,72,3.34,0.53,9.5,5
10.2,0.42,0.57,3.4,0.07,4,10,3.246,0.63,10,5
8.74,0.528,0.382,2.74,0.111,35.2,110,3.26,0.77,9.4,5
7.48,0.59,0.18,2.1,0.073,17,54,3.43,0.59,10,5
