11.09,41.378,1015.752,74.97,477.53943
23.87,60.27,1018.94,59.112,443.38928
11.44,40.55,1023.37,81.346,474.17194
17.85,49.15,1021.42,56.15,461.08994
20.46,54.462,1015.404,85.89,452.1447
9.53,38.38,1018.742,80.08,478.34613
26.85,69.84,1002.84,81.31,432.5227
16.262,54.178,1020.242,84.16,457.6818
13.58,39.28,1016.17,79.17,469.4357
14.352,45.08,1023.77,80.48,464.24658
16.662,45.712,1013.37,73.874,462.43704
26.2,65.18,1014.718,44.868,443.43198
14.39,40.35,1010.246,70.828,466.19614
15.25,39.16,1016.18,78.652,465.22253
21.682,58.62,1016.194,74.59,450.92496
19.3,49.252,1011.78,70.55,454.59384
30.56,72.39,1006.578,61.652,429.71124
11.26,39.35,1015.47,99.28,474.20862
9.48,41.49,1018.142,97.59,476.0862
5.21,35.79,1012.44,94.35,484.89825
15.03,44.45,1020.94,65.57,464.6225
14.514,45.08,1022.282,82.93,463.6467
21.106,47.43,1010.048,75.908,449.98267
8.676,40.6,1015.3,92.14,478.91156
31.71,68.084,1010.63,40.17,433.0854
25.38,70.94,1007.87,79.208,435.55597
23.83,64.15,1020.93,63.86,447.4216
9.816,39.04,1023.95,81.93,478.97113
13.76,40.904,1013.758,87.27,466.58194
13.48,41.44,1015.064,71.46,471.2135
17.48,46.21,1009.614,80.78,453.393
25.11,56.89,1013.33,67.31,445.22153
12.546,37.85,1012.866,86.8,471.6391
23.36,62.52,1016.18,65.012,447.0446
28.78,63.774,1014.54,49.03,440.30917
23.276,69.59,1009.13,82.15,440.3893
21.684,64.43,1009.52,88.67,445.09338
9.55,38.08,1018.304,74.354,478.34613
17.07,41.35,1005.88,83.43,461.54987
3.21,38.44,1017.11,84.86,486.9163
8.5,39.42,1024.58,78.262,481.47687
12.91,40.73,1017.66,93.66,466.8073
11.21,41.96,1017.94,96.76,471.9308
12.29,40.71,1019.71,83.09,472.49643
22.95,67.79,1009.89,91.69,440.7323
29.09,75.33,1001.61,71.06,434.0551
9.6,42.03,1022.652,92.27,475.81308
